dog_name,gender,breed,birth,dominant_color,secondary_color,third_color,spayed_or_neutered,guard_or_trained,borough,zip_code
Lucky,M,American Eskimo dog,Aug-05,WHITE,n/a,n/a,Yes,No,Queens,11367
Daisy,F,American Eskimo dog,Oct-05,WHITE,TAN,n/a,Yes,No,Staten Island,10312
NELIAK,M,American Eskimo dog,Oct-05,WHITE,n/a,n/a,Yes,No,Brooklyn,11223
Snowy,F,American Eskimo dog,Dec-05,WHITE,n/a,n/a,Yes,No,Queens,11421
Wolf,M,American Eskimo dog,Dec-05,WHITE,n/a,n/a,No,No,Bronx,10473
Blanco,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Staten Island,10305
Joey,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Queens,11357
Joey,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Staten Island,10308
KAZI,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Brooklyn,11201
L J LUCKY,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Queens,11365
n/a,F,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Manhattan,10021
Snoopy,M,American Eskimo dog,Jan-06,WHITE,n/a,n/a,No,No,Brooklyn,11223
Snow,F,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Brooklyn,11219
Tiffany,F,American Eskimo dog,Jan-06,WHITE,n/a,n/a,Yes,No,Staten Island,10309
Cleopatra,F,American Eskimo dog,Mar-06,WHITE,TAN,BLOND,Yes,No,Manhattan,10011
Snow,M,American Eskimo dog,Apr-06,WHITE,n/a,n/a,Yes,No,Queens,11693
Alaska,M,American Eskimo dog,May-06,WHITE,TAN,n/a,Yes,No,Queens,11385
Muki,F,American Eskimo dog,Jun-06,WHITE,n/a,n/a,Yes,No,Manhattan,10038
Woofie,M,American Eskimo dog,Sep-06,WHITE,n/a,n/a,Yes,No,Queens,11370
Q TIP,F,American Eskimo dog,Oct-06,WHITE,n/a,n/a,Yes,No,Queens,11364
Eski,F,American Eskimo dog,Nov-06,WHITE,n/a,n/a,No,No,Staten Island,10304
CJ,F,American Eskimo dog,Jan-07,WHITE,n/a,n/a,Yes,No,Bronx,10461
Missy,F,American Eskimo dog,Jan-07,WHITE,n/a,n/a,Yes,No,Manhattan,10035
Kodiak,M,American Eskimo dog,Apr-07,WHITE,n/a,n/a,Yes,No,Bronx,10461
Sheba,F,American Eskimo dog,Jun-07,WHITE,n/a,n/a,Yes,No,Brooklyn,11205
Blizzard,M,American Eskimo dog,Jul-07,WHITE,n/a,n/a,Yes,No,Manhattan,10011
Rocky,M,American Eskimo dog,Aug-07,WHITE,n/a,n/a,Yes,No,Manhattan,10003
Loki,M,American Eskimo dog,Sep-07,WHITE,n/a,n/a,Yes,No,Manhattan,10036
Luna-Pearl,F,American Eskimo dog,Nov-07,WHITE,n/a,n/a,Yes,No,Staten Island,10310
Mozart,M,American Eskimo dog,Nov-07,WHITE,n/a,n/a,Yes,No,Staten Island,10308
Dorian,M,American Eskimo dog,Dec-07,WHITE,n/a,n/a,Yes,No,Staten Island,10302
Emily,F,American Eskimo dog,Dec-07,WHITE,n/a,n/a,Yes,No,Manhattan,10128
CHALUTZ,M,American Eskimo dog,Jan-08,WHITE,n/a,n/a,Yes,No,Staten Island,10312
Olivia,F,American Eskimo dog,Jan-08,WHITE,n/a,n/a,Yes,No,Staten Island,10305
Rocky,M,American Eskimo dog,Feb-08,WHITE,BROWN,n/a,Yes,No,Brooklyn,11208
Champ,M,American Eskimo dog,Mar-08,BLOND,WHITE,n/a,Yes,No,Manhattan,10029
Kiki,F,American Eskimo dog,Mar-08,WHITE,n/a,n/a,Yes,No,Manhattan,10024
Juno,M,American Eskimo dog,Apr-08,TAN,n/a,n/a,Yes,No,Manhattan,10003
Luka,M,American Eskimo dog,Apr-08,WHITE,n/a,n/a,Yes,No,Manhattan,10014
Snowie,M,American Eskimo dog,Apr-08,WHITE,n/a,n/a,Yes,No,Staten Island,10309
Little,F,American Eskimo dog,Jun-08,WHITE,n/a,n/a,Yes,No,Manhattan,10023
n/a,F,American Eskimo dog,Jun-08,WHITE,n/a,n/a,Yes,No,Queens,11377
Jack,M,American Eskimo dog,Aug-08,WHITE,APRICOT,BLOND,No,No,Queens,11385
Lana,F,American Eskimo dog,Aug-08,WHITE,TAN,n/a,Yes,No,Queens,11363
Toby,M,American Eskimo dog,Oct-08,WHITE,n/a,n/a,Yes,No,Manhattan,10025
champ/champion,M,American Eskimo dog,Dec-08,TAN,WHITE,CREAM,No,No,Bronx,10472
Glacier,F,American Eskimo dog,Dec-08,WHITE,BLACK,n/a,Yes,No,Manhattan,10021
Mini,F,American Eskimo dog,Dec-08,WHITE,TAN,n/a,No,No,Queens,11372
Calvin,M,American Eskimo dog,Feb-09,WHITE,n/a,n/a,Yes,No,Manhattan,10028
Buddy,M,American Eskimo dog,Mar-09,WHITE,n/a,n/a,Yes,No,Manhattan,10021
Princess,F,American Eskimo dog,Mar-09,WHITE,n/a,n/a,Yes,No,Queens,11413
KAIDY,F,American Eskimo dog,Apr-09,WHITE,n/a,n/a,Yes,No,Bronx,10473
Sparky,M,American Eskimo dog,Apr-09,WHITE,n/a,n/a,Yes,No,Staten Island,10314
Da,M,American Eskimo dog,May-09,WHITE,n/a,n/a,No,No,Queens,11355
Peaches,F,American Eskimo dog,Jun-09,WHITE,n/a,n/a,No,No,Manhattan,10033
Zeus,M,American Eskimo dog,Jun-09,WHITE,CREAM,BROWN,Yes,No,Brooklyn,11222
Ellie,F,American Eskimo dog,Aug-09,GOLD,n/a,n/a,Yes,No,Queens,11375
Esco,M,American Eskimo dog,Sep-09,WHITE,n/a,n/a,No,No,Brooklyn,11207
George,M,American Eskimo dog,Oct-09,WHITE,n/a,n/a,Yes,No,Manhattan,10023
Baby,F,American Eskimo dog,Nov-09,WHITE,n/a,n/a,Yes,No,Queens,11385
Kerry,F,American Eskimo dog,Jan-10,WHITE,n/a,n/a,Yes,No,Brooklyn,11215
Messi,M,American Eskimo dog,Jan-10,WHITE,n/a,n/a,Yes,No,Bronx,10454
Mochi,M,American Eskimo dog,Jan-10,WHITE,n/a,n/a,No,No,Manhattan,10009
SCHUBERT,M,American Eskimo dog,Jan-10,WHITE,CREAM,n/a,Yes,No,Manhattan,10010
Cloud,M,American Eskimo dog,Feb-10,WHITE,n/a,n/a,No,No,Queens,11377
Nanuq,M,American Eskimo dog,May-10,WHITE,n/a,n/a,Yes,No,Staten Island,10309
Snowball,M,American Eskimo dog,May-10,WHITE,n/a,n/a,Yes,No,Queens,11427
Tag,F,American Eskimo dog,Jun-10,WHITE,TAN,n/a,Yes,No,Manhattan,10009
Isabel,F,American Eskimo dog,Jul-10,WHITE,n/a,n/a,Yes,No,Manhattan,10001
Snowy,M,American Eskimo dog,Jul-10,WHITE,n/a,n/a,Yes,No,Brooklyn,11223
Casper,M,American Eskimo dog,Oct-10,WHITE,n/a,n/a,Yes,No,Manhattan,10010
n/a,M,American Eskimo dog,Jan-11,WHITE,n/a,n/a,No,No,Staten Island,10308
n/a,M,American Eskimo dog,Jan-11,WHITE,n/a,n/a,Yes,No,Manhattan,10012
Sammie,M,American Eskimo dog,Jan-11,WHITE,n/a,n/a,Yes,No,Manhattan,10019
Tosha,F,American Eskimo dog,Jan-11,WHITE,BROWN,CREAM,No,No,Queens,11367
Brooklyn,F,American Eskimo dog,Feb-11,WHITE,n/a,n/a,Yes,No,Queens,11104
Kaster,M,American Eskimo dog,Feb-11,WHITE,n/a,n/a,No,No,Brooklyn,11211
Katie,F,American Eskimo dog,Feb-11,WHITE,n/a,n/a,No,No,Manhattan,10024
Yuki,F,American Eskimo dog,Mar-11,WHITE,n/a,n/a,Yes,No,Queens,11364
Ella,F,American Eskimo dog,Apr-11,WHITE,TAN,n/a,Yes,No,Staten Island,10307
n/a,F,American Eskimo dog,Apr-11,WHITE,n/a,n/a,No,No,Brooklyn,11209
Snoopy,M,American Eskimo dog,May-11,WHITE,n/a,n/a,No,No,Bronx,10458
Flurry,F,American Eskimo dog,Jun-11,WHITE,n/a,n/a,No,No,Staten Island,10309
n/a,M,American Eskimo dog,Jun-11,WHITE,n/a,n/a,Yes,No,Queens,11377
n/a,M,American Eskimo dog,Jun-11,WHITE,n/a,n/a,Yes,No,Queens,11374
n/a,F,American Eskimo dog,Jun-11,WHITE,n/a,n/a,Yes,No,Brooklyn,11235
n/a,F,American Eskimo dog,Jun-11,WHITE,n/a,n/a,Yes,No,Manhattan,10001
Ruby,F,American Eskimo dog,Jun-11,WHITE,n/a,n/a,No,No,Staten Island,10303
n/a,F,American Eskimo dog,Jul-11,WHITE,n/a,n/a,Yes,No,Queens,11417
n/a,F,American Eskimo dog,Jul-11,WHITE,n/a,n/a,Yes,No,Manhattan,10007
n/a,F,American Eskimo dog,Aug-11,WHITE,n/a,n/a,Yes,No,Queens,11374
n/a,M,American Eskimo dog,Aug-11,WHITE,n/a,n/a,Yes,No,Queens,11356
n/a,M,American Eskimo dog,Aug-11,WHITE,n/a,n/a,Yes,No,Brooklyn,11206
n/a,M,American Eskimo dog,Aug-11,WHITE,n/a,n/a,Yes,No,Bronx,10459
Rocky,M,American Eskimo dog,Aug-11,WHITE,n/a,n/a,No,No,Brooklyn,11211
TUO,F,American Eskimo dog,Aug-11,WHITE,n/a,n/a,No,No,Queens,11365
Mason,M,American Eskimo dog,Sep-11,WHITE,n/a,n/a,No,No,Manhattan,10038
Max,M,American Eskimo dog,Sep-11,WHITE,n/a,n/a,No,No,Bronx,10460
Sake,F,American Eskimo dog,Oct-11,WHITE,n/a,n/a,No,No,Manhattan,10011
Snowflake,F,American Eskimo dog,Nov-11,WHITE,n/a,n/a,No,No,Bronx,10473
Spock,M,American Pit Bull Mix / Pit Bull Mix,Dec-92,BRINDLE,WHITE,n/a,No,No,Queens,11368
Pepe,M,American Pit Bull Mix / Pit Bull Mix,Jan-97,BROWN,WHITE,n/a,No,No,Bronx,10458
Daisy,F,American Pit Bull Mix / Pit Bull Mix,Jan-98,BROWN,n/a,n/a,Yes,No,Manhattan,10002
Nasha,F,American Pit Bull Mix / Pit Bull Mix,Oct-98,BLACK,WHITE,BROWN,Yes,No,Bronx,10471
Hope,F,American Pit Bull Mix / Pit Bull Mix,Jan-99,FAWN,n/a,n/a,Yes,No,Brooklyn,11209
Sweetie,F,American Pit Bull Mix / Pit Bull Mix,Jan-99,BROWN,BLACK,WHITE,Yes,No,Manhattan,10014
Tricky,M,American Pit Bull Mix / Pit Bull Mix,Apr-99,WHITE,BLACK,n/a,Yes,No,Brooklyn,11207
Apachie,M,American Pit Bull Mix / Pit Bull Mix,May-99,TAN,WHITE,n/a,No,No,Brooklyn,11206
Brooklyn,F,American Pit Bull Mix / Pit Bull Mix,Nov-99,WHITE,n/a,n/a,No,No,Brooklyn,11224
Bear,M,American Pit Bull Mix / Pit Bull Mix,Jan-00,WHITE,n/a,n/a,No,No,Bronx,10454
Gypsy,F,American Pit Bull Mix / Pit Bull Mix,Jan-00,BRINDLE,WHITE,n/a,Yes,No,Queens,11370
Gypsy,F,American Pit Bull Mix / Pit Bull Mix,Jan-00,WHITE,BROWN,n/a,Yes,No,Manhattan,10021
Prince,M,American Pit Bull Mix / Pit Bull Mix,Jan-00,TAN,WHITE,n/a,Yes,No,Brooklyn,11236
Sharon,M,American Pit Bull Mix / Pit Bull Mix,Jan-00,BROWN,CHOCOLATE,BLACK,No,No,Queens,11432
Mia,F,American Pit Bull Mix / Pit Bull Mix,Mar-00,BLACK,n/a,n/a,Yes,No,Queens,11102
Chocolate,F,American Pit Bull Mix / Pit Bull Mix,Jul-00,BROWN,WHITE,n/a,No,No,Queens,11385
Scout,F,American Pit Bull Mix / Pit Bull Mix,Jul-00,BRINDLE,WHITE,n/a,Yes,No,Brooklyn,11215
Belize,F,American Pit Bull Mix / Pit Bull Mix,Oct-00,TAN,WHITE,n/a,Yes,No,Manhattan,10009
Nikki,F,American Pit Bull Mix / Pit Bull Mix,Jan-01,BRINDLE,WHITE,n/a,Yes,No,Staten Island,10314
Shaka,M,American Pit Bull Mix / Pit Bull Mix,Jan-01,BLACK,TAN,WHITE,No,No,Brooklyn,11203
Chloe,F,American Pit Bull Mix / Pit Bull Mix,May-01,TAN,WHITE,n/a,Yes,No,Brooklyn,11229
Zoe,F,American Pit Bull Mix / Pit Bull Mix,May-01,TAN,WHITE,n/a,Yes,No,Brooklyn,11229
Destiny,F,American Pit Bull Mix / Pit Bull Mix,Jul-01,BRINDLE,n/a,n/a,Yes,No,Brooklyn,11249
Tyson,M,American Pit Bull Mix / Pit Bull Mix,Aug-01,BLACK,WHITE,n/a,Yes,No,Bronx,10465
Chelsea,F,American Pit Bull Mix / Pit Bull Mix,Sep-01,BROWN,WHITE,n/a,Yes,No,Queens,11417
Precious,F,American Pit Bull Mix / Pit Bull Mix,Oct-01,RUST,WHITE,n/a,No,No,Brooklyn,11229
Smokey,M,American Pit Bull Mix / Pit Bull Mix,Nov-01,BRINDLE,WHITE,n/a,Yes,No,Queens,11432
Honey,F,American Pit Bull Mix / Pit Bull Mix,Jan-02,BROWN,BRINDLE,WHITE,Yes,No,Staten Island,10314
SAMURAI,F,American Pit Bull Mix / Pit Bull Mix,Jan-02,BLOND,n/a,n/a,Yes,No,Brooklyn,11215
Strom,F,American Pit Bull Mix / Pit Bull Mix,Jan-02,TAN,WHITE,n/a,No,No,Manhattan,10030
Sugar,F,American Pit Bull Mix / Pit Bull Mix,Jan-02,WHITE,BLACK,n/a,Yes,No,Manhattan,10009
Tank,M,American Pit Bull Mix / Pit Bull Mix,Feb-02,BRINDLE,WHITE,n/a,No,No,Bronx,10454
Trasa,F,American Pit Bull Mix / Pit Bull Mix,Feb-02,BROWN,WHITE,n/a,No,No,Brooklyn,11207
Scylla,F,American Pit Bull Mix / Pit Bull Mix,Apr-02,BRINDLE,n/a,n/a,Yes,No,Bronx,10462
Mugsy,M,American Pit Bull Mix / Pit Bull Mix,May-02,BRINDLE,n/a,n/a,Yes,No,Manhattan,10011
Spike,M,American Pit Bull Mix / Pit Bull Mix,Jun-02,WHITE,BROWN,n/a,No,No,Brooklyn,11212
Trippel-O,F,American Pit Bull Mix / Pit Bull Mix,Jul-02,WHITE,n/a,n/a,Yes,No,Bronx,10467
Belle,F,American Pit Bull Mix / Pit Bull Mix,Aug-02,BRINDLE,n/a,n/a,Yes,No,Manhattan,10024
Lexus,F,American Pit Bull Mix / Pit Bull Mix,Sep-02,CHARCOAL,WHITE,n/a,No,No,Bronx,10466
Lizzie,F,American Pit Bull Mix / Pit Bull Mix,Sep-02,BRINDLE,n/a,n/a,Yes,No,Manhattan,10025
Sasha,F,American Pit Bull Mix / Pit Bull Mix,Sep-02,TAN,BLACK,WHITE,Yes,No,Bronx,10474
Ellie,F,American Pit Bull Mix / Pit Bull Mix,Oct-02,BROWN,WHITE,n/a,Yes,No,Brooklyn,11222
Ruckus,M,American Pit Bull Mix / Pit Bull Mix,Oct-02,BRINDLE,n/a,n/a,No,No,Brooklyn,11220
Samantha,F,American Pit Bull Mix / Pit Bull Mix,Oct-02,BLACK,WHITE,n/a,No,No,Brooklyn,11231
Genee,F,American Pit Bull Mix / Pit Bull Mix,Jan-03,BROWN,WHITE,n/a,Yes,No,Bronx,10452
LEGBA,M,American Pit Bull Mix / Pit Bull Mix,Jan-03,BLACK,n/a,n/a,Yes,No,Brooklyn,11208
Mocha,F,American Pit Bull Mix / Pit Bull Mix,Jan-03,TAN,WHITE,BROWN,No,No,Bronx,10453
Moo,M,American Pit Bull Mix / Pit Bull Mix,Jan-03,BROWN,n/a,n/a,Yes,No,Manhattan,10128
Nemo-Castillo,M,American Pit Bull Mix / Pit Bull Mix,Jan-03,GOLD,TAN,n/a,Yes,No,Brooklyn,11237
Pete,M,American Pit Bull Mix / Pit Bull Mix,Jan-03,WHITE,BROWN,n/a,Yes,No,Staten Island,10306
Lizzy,F,American Pit Bull Mix / Pit Bull Mix,Feb-03,BLACK,WHITE,n/a,No,No,Brooklyn,11229
Reina,F,American Pit Bull Mix / Pit Bull Mix,Feb-03,BROWN,n/a,n/a,Yes,No,Staten Island,10306
TELLI,F,American Pit Bull Mix / Pit Bull Mix,Feb-03,WHITE,BRINDLE,n/a,Yes,No,Queens,11372
Chubby,M,American Pit Bull Mix / Pit Bull Mix,Mar-03,WHITE,n/a,n/a,Yes,No,Brooklyn,11203
Hunney,F,American Pit Bull Mix / Pit Bull Mix,Apr-03,GOLD,SILVER,n/a,Yes,No,Queens,11694
Loca,F,American Pit Bull Mix / Pit Bull Mix,May-03,BLACK,WHITE,BROWN,Yes,No,Bronx,10467
Trouble,M,American Pit Bull Mix / Pit Bull Mix,May-03,BRINDLE,n/a,n/a,No,No,Manhattan,10037
Brooklyn,M,American Pit Bull Mix / Pit Bull Mix,Jul-03,BROWN,RUST,BLACK,Yes,No,Brooklyn,11215
putney,F,American Pit Bull Mix / Pit Bull Mix,Jul-03,WHITE,n/a,n/a,Yes,No,Manhattan,10027
Siagon,M,American Pit Bull Mix / Pit Bull Mix,Aug-03,BRINDLE,BROWN,TAN,No,No,Bronx,10463
Damian,M,American Pit Bull Mix / Pit Bull Mix,Sep-03,TAN,n/a,n/a,Yes,No,Staten Island,10309
Oden,M,American Pit Bull Mix / Pit Bull Mix,Sep-03,BRINDLE,WHITE,n/a,Yes,No,Manhattan,10036
Sandi,F,American Pit Bull Mix / Pit Bull Mix,Sep-03,TAN,n/a,n/a,Yes,No,Staten Island,10305
Cashew,M,American Pit Bull Mix / Pit Bull Mix,Nov-03,TAN,n/a,n/a,Yes,No,Queens,11104
Tico,M,American Pit Bull Mix / Pit Bull Mix,Nov-03,BRINDLE,n/a,n/a,Yes,No,Brooklyn,11218
Precious,F,American Pit Bull Mix / Pit Bull Mix,Dec-03,BLACK,WHITE,n/a,No,No,Bronx,10458
Beauty,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,TAN,n/a,n/a,Yes,No,Staten Island,10312
BROOKE,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,WHITE,n/a,Yes,No,Brooklyn,11217
Champ,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,TAN,n/a,n/a,No,No,Manhattan,10035
Dutchie,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,BROWN,WHITE,Yes,No,Queens,11102
Gigi,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,n/a,n/a,Yes,No,Manhattan,10001
HONEST,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,BRINDLE,BLACK,TAN,Yes,No,Manhattan,10001
Jax,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,BROWN,n/a,n/a,Yes,No,Manhattan,10039
Lola,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,TAN,BLACK,WHITE,Yes,No,Queens,11375
Pepper,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,WHITE,n/a,Yes,No,Brooklyn,11209
Shadow,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,n/a,n/a,Yes,No,Staten Island,10304
Snoopy,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,WHITE,BLACK,n/a,Yes,No,Manhattan,10014
SZASZU,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,BRINDLE,WHITE,n/a,Yes,No,Manhattan,10032
Tabatha,F,American Pit Bull Mix / Pit Bull Mix,Jan-04,BLACK,BROWN,n/a,Yes,No,Manhattan,10019
Thor,M,American Pit Bull Mix / Pit Bull Mix,Jan-04,BROWN,BLACK,WHITE,Yes,No,Manhattan,10025
Rubia,F,American Pit Bull Mix / Pit Bull Mix,Feb-04,CREAM,WHITE,n/a,Yes,No,Bronx,10454
Ace,M,American Pit Bull Mix / Pit Bull Mix,Mar-04,WHITE,BLACK,n/a,Yes,No,Manhattan,10029
Goofy,M,American Pit Bull Mix / Pit Bull Mix,Apr-04,WHITE,BROWN,n/a,No,No,Brooklyn,11223
Rocky,M,American Pit Bull Mix / Pit Bull Mix,Apr-04,WHITE,BROWN,n/a,Yes,No,Staten Island,10314
Diesel,M,American Pit Bull Mix / Pit Bull Mix,Jun-04,BRINDLE,BROWN,WHITE,No,No,Manhattan,10013
Gracie,F,American Pit Bull Mix / Pit Bull Mix,Jun-04,BROWN,WHITE,n/a,Yes,No,Manhattan,10128
Epiphany,F,American Pit Bull Mix / Pit Bull Mix,Jul-04,BRINDLE,WHITE,n/a,Yes,No,Brooklyn,11206
Jasmine,F,American Pit Bull Mix / Pit Bull Mix,Aug-04,BROWN,BRINDLE,n/a,Yes,No,Brooklyn,11234
Bacardi,F,American Pit Bull Mix / Pit Bull Mix,Oct-04,WHITE,BROWN,n/a,Yes,No,Manhattan,10002
Chloe,F,American Pit Bull Mix / Pit Bull Mix,Oct-04,WHITE,TAN,n/a,Yes,No,Staten Island,10306
Pit,M,American Pit Bull Mix / Pit Bull Mix,Oct-04,WHITE,BROWN,n/a,Yes,No,Manhattan,10035
Ivy,F,American Pit Bull Mix / Pit Bull Mix,Dec-04,WHITE,BRINDLE,n/a,No,No,Bronx,10472
Babe,F,American Pit Bull Mix / Pit Bull Mix,Jan-05,WHITE,BLOND,n/a,Yes,No,Queens,11693
Bruno,M,American Pit Bull Mix / Pit Bull Mix,Jan-05,WHITE,BROWN,BLACK,No,No,Bronx,10466
Dante,M,American Pit Bull Mix / Pit Bull Mix,Jan-05,BROWN,WHITE,n/a,Yes,No,Staten Island,10302
Dutchez,M,American Pit Bull Mix / Pit Bull Mix,Jan-05,BROWN,n/a,n/a,No,No,Bronx,10468
Ginger,F,American Pit Bull Mix / Pit Bull Mix,Jan-05,WHITE,BROWN,n/a,Yes,No,Manhattan,10002
Lucky,M,American Pit Bull Mix / Pit Bull Mix,Jan-05,BLACK,WHITE,n/a,Yes,No,Manhattan,10019
Lulu,F,American Pit Bull Mix / Pit Bull Mix,Jan-05,BROWN,WHITE,n/a,Yes,No,Brooklyn,11209
Mama,F,American Pit Bull Mix / Pit Bull Mix,Jan-05,BROWN,WHITE,n/a,Yes,No,Brooklyn,11211
Sheeba,F,American Pit Bull Mix / Pit Bull Mix,Jan-05,BROWN,WHITE,n/a,Yes,No,Manhattan,10011
Gizmo,M,American Pit Bull Mix / Pit Bull Mix,Feb-05,BROWN,WHITE,n/a,Yes,No,Queens,11421
Jessie,F,American Pit Bull Mix / Pit Bull Mix,Feb-05,BRINDLE,WHITE,n/a,No,No,Brooklyn,11209
Bear,M,American Pit Bull Mix / Pit Bull Mix,Mar-05,BLACK,WHITE,BROWN,Yes,No,Manhattan,10029
Clipper,M,American Pit Bull Mix / Pit Bull Mix,Apr-05,BROWN,n/a,n/a,Yes,No,Manhattan,10012
Frida,F,American Pit Bull Mix / Pit Bull Mix,May-05,BROWN,BRINDLE,n/a,Yes,No,Bronx,10471
Tyler,M,American Pit Bull Mix / Pit Bull Mix,Jun-05,CHARCOAL,BROWN,WHITE,No,No,Queens,11419
